# M1939-0 Flight Profile (Up to date)
# 992 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (86.6 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
9.593,6354.065,651.314,5.23
9.643,6386.552,648.178,5.228
9.693,6418.883,645.059,5.226
9.743,6451.059,641.957,5.224
9.793,6483.079,638.872,5.222
9.843,6514.946,635.804,5.22
9.893,6546.66,632.752,5.218
9.943,6578.222,629.717,5.216
9.993,6609.632,626.697,5.214
10.043,6640.891,623.693,5.212
10.093,6672.001,620.704,5.21
10.143,6702.962,617.731,5.208
10.193,6733.775,614.773,5.207
10.243,6764.44,611.829,5.205
10.293,6794.958,608.901,5.203
10.343,6825.33,605.987,5.202
10.393,6855.557,603.088,5.2
10.443,6885.639,600.203,5.198
10.493,6915.577,597.332,5.197
10.543,6945.372,594.474,5.195
10.593,6975.025,591.631,5.194
10.643,7004.536,588.801,5.192
10.693,7033.905,585.985,5.191
10.743,7063.134,583.182,5.189
10.793,7092.224,580.392,5.188
10.843,7121.174,577.615,5.186
10.893,7149.985,574.851,5.185
10.943,7178.659,572.099,5.183
10.993,7207.195,569.36,5.182
11.043,7235.595,566.634,5.181
11.093,7263.859,563.919,5.179
11.143,7291.987,561.217,5.178
11.193,7319.981,558.527,5.177
11.243,7347.84,555.848,5.175
11.293,7375.566,553.182,5.174
11.343,7403.159,550.527,5.173
11.393,7430.619,547.883,5.172
11.443,7457.947,545.251,5.171
11.493,7485.144,542.629,5.169
11.543,7512.21,540.019,5.168
11.593,7539.146,537.42,5.167
11.643,7565.952,534.832,5.166
11.693,7592.63,532.254,5.165
11.743,7619.178,529.687,5.164
11.793,7645.598,527.131,5.163
11.843,7671.891,524.585,5.162
11.893,7698.057,522.049,5.161
11.943,7724.096,519.523,5.16
11.993,7750.01,517.007,5.159
12.043,7775.797,514.502,5.158
12.093,7801.46,512.006,5.157
12.143,7826.998,509.519,5.156
12.193,7852.412,507.043,5.155
12.243,7877.702,504.576,5.153
12.293,7902.87,502.118,5.152
12.343,7927.914,499.67,5.151
12.393,7952.837,497.23,5.151
12.443,7977.638,494.8,5.15
12.493,8002.317,492.379,5.149
12.543,8026.876,489.967,5.148
12.593,8051.314,487.564,5.147
12.643,8075.632,485.169,5.146
12.693,8099.831,482.784,5.145
12.743,8123.911,480.406,5.144
12.793,8147.872,478.037,5.143
12.843,8171.715,475.677,5.142
12.893,8195.44,473.325,5.141
12.943,8219.047,470.981,5.141
12.993,8242.538,468.645,5.14
13.043,8265.912,466.317,5.139
13.093,8289.17,463.997,5.138
13.143,8312.312,461.685,5.137
13.193,8335.338,459.381,5.136
13.243,8358.25,457.085,5.135
13.293,8381.047,454.796,5.134
13.343,8403.73,452.514,5.134
13.393,8426.299,450.241,5.133
13.443,8448.754,447.974,5.132
13.493,8471.096,445.715,5.131
13.543,8493.326,443.463,5.13
13.593,8515.443,441.218,5.13
13.643,8537.448,438.981,5.129
13.693,8559.341,436.75,5.128
13.743,8581.123,434.526,5.127
13.793,8602.794,432.31,5.127
13.843,8624.354,430.1,5.126
13.893,8645.804,427.897,5.125
13.943,8667.144,425.7,5.124
13.993,8688.374,423.511,5.123
14.043,8709.495,421.327,5.123
14.093,8730.507,419.151,5.122
14.143,8751.41,416.981,5.121
14.193,8772.205,414.817,5.121
14.243,8792.892,412.659,5.12
14.293,8813.471,410.508,5.119
14.343,8833.943,408.363,5.119
14.393,8854.307,406.224,5.118
14.443,8874.565,404.091,5.117
14.493,8894.716,401.964,5.116
14.543,8914.762,399.843,5.116
14.593,8934.701,397.728,5.115
14.643,8954.534,395.619,5.114
14.693,8974.263,393.516,5.114
14.743,8993.886,391.418,5.113
14.793,9013.405,389.326,5.113
14.843,9032.819,387.24,5.112
14.893,9052.129,385.159,5.111
14.943,9071.335,383.084,5.111
14.993,9090.437,381.014,5.11
15.043,9109.436,378.95,5.109
15.093,9128.332,376.891,5.109
15.143,9147.126,374.838,5.108
15.193,9165.816,372.789,5.108
15.243,9184.405,370.746,5.107
15.293,9202.891,368.708,5.106
15.343,9221.275,366.675,5.106
15.393,9239.558,364.647,5.105
15.443,9257.74,362.625,5.105
15.493,9275.821,360.607,5.104
15.543,9293.801,358.594,5.103
15.593,9311.681,356.586,5.103
15.643,9329.46,354.583,5.102
15.693,9347.139,352.585,5.102
15.743,9364.718,350.591,5.101
15.793,9382.198,348.602,5.101
15.843,9399.579,346.618,5.1
15.893,9416.86,344.638,5.1
15.943,9434.042,342.663,5.099
15.993,9451.126,340.693,5.099
16.043,9468.112,338.727,5.098
16.093,9484.999,336.765,5.097
16.143,9501.788,334.808,5.097
16.193,9518.48,332.855,5.096
16.243,9535.074,330.907,5.096
16.293,9551.571,328.962,5.095
16.343,9567.97,327.022,5.095
16.393,9584.273,325.086,5.094
16.443,9600.479,323.155,5.094
16.493,9616.589,321.227,5.093
16.543,9632.602,319.304,5.093
16.593,9648.519,317.384,5.092
16.643,9664.34,315.469,5.092
16.693,9680.066,313.558,5.092
16.743,9695.696,311.65,5.091
16.793,9711.231,309.746,5.091
16.843,9726.671,307.847,5.09
16.893,9742.016,305.951,5.09
16.943,9757.266,304.059,5.089
16.993,9772.422,302.17,5.089
17.043,9787.483,300.286,5.088
17.093,9802.45,298.405,5.088
17.143,9817.324,296.527,5.087
17.193,9832.103,294.653,5.087
17.243,9846.789,292.783,5.086
17.293,9861.381,290.917,5.086
17.343,9875.881,289.054,5.086
17.393,9890.287,287.194,5.085
17.443,9904.6,285.338,5.085
17.493,9918.821,283.485,5.084
17.543,9932.949,281.635,5.084
17.593,9946.984,279.789,5.084
17.643,9960.928,277.946,5.083
17.693,9974.779,276.107,5.083
17.743,9988.538,274.271,5.082
17.793,1e4,272.438,5.082
17.843,1.002e4,270.608,5.082
17.893,1.003e4,268.781,5.081
17.943,1.004e4,266.957,5.081
17.993,1.006e4,265.137,5.08
18.043,1.007e4,263.319,5.08
18.093,1.008e4,261.505,5.08
18.143,1.01e4,259.694,5.079
18.193,1.011e4,257.885,5.079
18.243,1.012e4,256.08,5.079
18.293,1.013e4,254.277,5.078
18.343,1.015e4,252.478,5.078
18.393,1.016e4,250.681,5.078
18.443,1.017e4,248.887,5.077
18.493,1.018e4,247.096,5.077
18.543,1.02e4,245.307,5.076
18.593,1.021e4,243.522,5.076
18.643,1.022e4,241.739,5.076
18.693,1.023e4,239.959,5.075
18.743,1.024e4,238.181,5.075
18.793,1.026e4,236.406,5.075
18.843,1.027e4,234.634,5.074
18.893,1.028e4,232.864,5.074
18.943,1.029e4,231.097,5.074
18.993,1.03e4,229.333,5.073
19.043,1.031e4,227.571,5.073
19.093,1.033e4,225.811,5.073
19.143,1.034e4,224.054,5.072
19.193,1.035e4,222.3,5.072
19.243,1.036e4,220.547,5.072
19.293,1.037e4,218.798,5.071
19.343,1.038e4,217.05,5.071
19.393,1.039e4,215.305,5.071
19.443,1.04e4,213.562,5.07
19.493,1.041e4,211.822,5.07
19.543,1.042e4,210.084,5.07
19.593,1.043e4,208.348,5.07
19.643,1.044e4,206.614,5.069
19.693,1.046e4,204.883,5.069
19.743,1.047e4,203.153,5.069
19.793,1.048e4,201.426,5.068
19.843,1.049e4,199.701,5.068
19.893,1.05e4,197.978,5.068
19.943,1.051e4,196.257,5.068
19.993,1.051e4,194.539,5.067
20.043,1.052e4,192.822,5.067
20.093,1.053e4,191.107,5.067
20.143,1.054e4,189.395,5.066
20.193,1.055e4,187.684,5.066
20.243,1.056e4,185.975,5.066
20.293,1.057e4,184.268,5.065
20.343,1.058e4,182.563,5.065
20.393,1.059e4,180.86,5.065
20.443,1.06e4,179.159,5.065
20.493,1.061e4,177.46,5.064
20.543,1.062e4,175.763,5.064
20.593,1.063e4,174.067,5.064
20.643,1.063e4,172.373,5.063
20.693,1.064e4,170.681,5.063
20.743,1.065e4,168.991,5.063
20.793,1.066e4,167.302,5.063
20.843,1.067e4,165.615,5.062
20.893,1.068e4,163.93,5.062
20.943,1.068e4,162.246,5.062
20.993,1.069e4,160.565,5.062
21.043,1.07e4,158.884,5.061
21.093,1.071e4,157.206,5.061
21.143,1.072e4,155.529,5.061
21.193,1.072e4,153.853,5.06
21.243,1.073e4,152.179,5.06
21.293,1.074e4,150.507,5.06
21.343,1.075e4,148.836,5.06
21.393,1.075e4,147.166,5.059
21.443,1.076e4,145.498,5.059
21.493,1.077e4,143.832,5.059
21.543,1.078e4,142.167,5.058
21.593,1.078e4,140.503,5.058
21.643,1.079e4,138.841,5.058
21.693,1.08e4,137.18,5.057
21.743,1.08e4,135.521,5.057
21.793,1.081e4,133.863,5.057
21.843,1.082e4,132.206,5.056
21.893,1.082e4,130.55,5.056
21.943,1.083e4,128.896,5.056
21.993,1.084e4,127.243,5.055
22.043,1.084e4,125.591,5.055
22.093,1.085e4,123.941,5.054
22.143,1.086e4,122.292,5.054
22.193,1.086e4,120.644,5.054
22.243,1.087e4,118.997,5.053
22.293,1.087e4,117.351,5.053
22.343,1.088e4,115.706,5.052
22.393,1.088e4,114.063,5.052
22.443,1.089e4,112.421,5.051
22.493,1.09e4,110.779,5.051
22.543,1.09e4,109.139,5.05
22.593,1.091e4,107.5,5.049
22.643,1.091e4,105.862,5.049
22.693,1.092e4,104.225,5.048
22.743,1.092e4,102.589,5.047
22.793,1.093e4,100.954,5.047
22.843,1.093e4,99.32,5.046
22.893,1.094e4,97.687,5.045
22.943,1.094e4,96.055,5.044
22.993,1.095e4,94.424,5.043
23.043,1.095e4,92.793,5.042
23.093,1.096e4,91.164,5.041
23.143,1.096e4,89.535,5.04
23.193,1.097e4,87.908,5.039
23.243,1.097e4,86.281,5.038
23.293,1.097e4,84.655,5.036
23.343,1.098e4,83.029,5.035
23.393,1.098e4,81.405,5.033
23.443,1.099e4,79.781,5.032
23.493,1.099e4,78.159,5.03
23.543,1.099e4,76.536,5.028
23.593,1.1e4,74.915,5.026
23.643,1.1e4,73.294,5.024
23.693,1.101e4,71.674,5.021
23.743,1.101e4,70.055,5.019
23.793,1.101e4,68.436,5.016
23.843,1.102e4,66.818,5.013
23.893,1.102e4,65.201,5.01
23.943,1.102e4,63.584,5.007
23.993,1.103e4,61.968,5.003
24.043,1.103e4,60.353,4.999
24.093,1.103e4,58.738,4.994
24.143,1.103e4,57.123,4.99
24.193,1.104e4,55.509,4.984
24.243,1.104e4,53.896,4.979
24.293,1.104e4,52.283,4.972
24.343,1.104e4,50.671,4.966
24.393,1.105e4,49.059,4.958
24.443,1.105e4,47.447,4.95
24.493,1.105e4,45.836,4.941
24.543,1.105e4,44.226,4.931
24.593,1.106e4,42.615,4.921
24.643,1.106e4,41.005,4.909
24.693,1.106e4,39.396,4.896
24.743,1.106e4,37.787,4.881
24.793,1.106e4,36.178,4.865
24.843,1.107e4,34.569,4.847
24.893,1.107e4,32.961,4.827
24.943,1.107e4,31.353,4.804
24.993,1.107e4,29.746,4.779
25.043,1.107e4,28.139,4.75
25.093,1.107e4,26.532,4.718
25.143,1.108e4,24.925,4.682
25.193,1.108e4,23.318,4.64
25.243,1.108e4,21.712,4.592
25.293,1.108e4,20.106,4.537
25.343,1.108e4,18.5,4.472
25.393,1.108e4,16.894,4.397
25.443,1.108e4,15.289,4.307
25.493,1.108e4,13.684,4.2
25.543,1.108e4,12.078,4.07
25.593,1.108e4,10.473,3.91
25.643,1.108e4,8.868,3.71
25.693,1.108e4,7.263,3.452
25.743,1.108e4,5.659,3.113
25.793,1.108e4,4.054,2.653
25.843,1.108e4,2.449,2.025
25.893,1.108e4,0.845,5.491
# Event APOGEE occurred at t=25.943 seconds
25.943,1.108e4,-0.76,7.369
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=25.944 seconds
25.993,1.108e4,-2.365,8.423
25.998,1.108e4,-2.529,NaN
26.498,1.108e4,-18.564,NaN
26.998,1.107e4,-34.07,NaN
27.498,1.105e4,-48.299,NaN
27.945,1.102e4,-59.371,NaN
28.337,1.1e4,-67.616,NaN
28.727,1.097e4,-74.547,NaN
29.14,1.094e4,-80.589,NaN
29.596,1.09e4,-85.926,NaN
30.096,1.086e4,-90.359,NaN
30.596,1.081e4,-93.544,NaN
31.096,1.076e4,-95.786,NaN
